feature,importance
rawThickness,0.3536224599561143
thicknessClosed_mean,0.241942399849184
pressPressureMid_mean,0.09274935368061672
pressPressureC_mean,0.04705976740655641
pressPressureGlobal_mean,0.03471099831211237
pressPressureGlobal_min,0.02644548072597719
thicknessClosed_std,0.02505368217410204
pressPressureR_mean,0.021787450783420335
thicknessClosed_range,0.019710348407671222
tempGlobal_mean,0.018981433167560208
tempGlobal_std,0.01571003297143987
beltSpeed1,0.015455076076417683
pressPressureL_mean,0.015226142306398268
tempGlobal_range,0.01054394752435534
pressPressureGlobal_range,0.00949874570711342
pressPressureGlobal_max,0.0068208788137437215
thicknessClosed_max,0.006503951146329901
tempGlobal_max,0.006289366631376875
thicknessClosed_min,0.006276922966983748
pressPressureEnd_mean,0.0045869529357735654
pressPressureFrontEnd_diff,0.0042652114394780396
pressPressureFront_mean,0.0033889996788688996
pressPressureR_std,0.0031183984803663982
pressPressureLR_mean_diff,0.0029753070250493415
pressPressureC_std,0.0025904809789054207
tempGlobal_min,0.002215040379982045
pressPressureL_std,0.0012627490538610646
pressPressureGlobal_std,0.0012084214202417252
